PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2010,40,X,1.95412,X,X,X,X,X,X,632,112,32342
States,California,2010,41,X,2.15266,X,X,X,X,X,X,742,122,34469
States,California,2010,42,X,2.24173,X,X,X,X,X,X,766,126,34170
States,California,2010,43,X,1.91748,X,X,X,X,X,X,666,130,34733
States,California,2010,44,X,2.52326,X,X,X,X,X,X,887,131,35153
States,California,2010,45,X,2.74562,X,X,X,X,X,X,906,126,32998
States,California,2010,46,X,2.81963,X,X,X,X,X,X,1020,131,36175
States,California,2010,47,X,3.16132,X,X,X,X,X,X,729,134,23060
States,California,2010,48,X,2.60631,X,X,X,X,X,X,939,135,36028
States,California,2010,49,X,3.05613,X,X,X,X,X,X,1072,135,35077
States,California,2010,50,X,3.6598,X,X,X,X,X,X,1170,128,31969
States,California,2010,51,X,4.62077,X,X,X,X,X,X,1057,127,22875
States,California,2010,52,X,4.6895,X,X,X,X,X,X,916,125,19533
States,California,2011,1,X,3.56213,X,X,X,X,X,X,1190,129,33407
States,California,2011,2,X,3.79325,X,X,X,X,X,X,1354,132,35695
States,California,2011,3,X,4.02689,X,X,X,X,X,X,1324,130,32879
States,California,2011,4,X,4.60501,X,X,X,X,X,X,1768,132,38393
States,California,2011,5,X,4.33983,X,X,X,X,X,X,1747,133,40255
States,California,2011,6,X,4.88711,X,X,X,X,X,X,1987,138,40658
States,California,2011,7,X,5.07162,X,X,X,X,X,X,2036,136,40145
States,California,2011,8,X,5.17402,X,X,X,X,X,X,1775,134,34306
States,California,2011,9,X,5.00087,X,X,X,X,X,X,2007,138,40133
States,California,2011,10,X,4.69447,X,X,X,X,X,X,1853,136,39472
States,California,2011,11,X,4.4379,X,X,X,X,X,X,1598,134,36008
States,California,2011,12,X,3.29703,X,X,X,X,X,X,1111,127,33697
States,California,2011,13,X,3.2,X,X,X,X,X,X,1160,131,36250
States,California,2011,14,X,2.64683,X,X,X,X,X,X,927,121,35023
States,California,2011,15,X,2.57193,X,X,X,X,X,X,918,120,35693
States,California,2011,16,X,2.24199,X,X,X,X,X,X,736,119,32828
States,California,2011,17,X,2.34436,X,X,X,X,X,X,784,112,33442
States,California,2011,18,X,2.14632,X,X,X,X,X,X,734,111,34198
States,California,2011,19,X,2.05279,X,X,X,X,X,X,672,110,32736
States,California,2011,20,X,2.13285,X,X,X,X,X,X,700,113,32820
States,California,2011,21,X,2.10667,X,X,X,X,X,X,583,94,27674
States,California,2011,22,X,2.5765,X,X,X,X,X,X,581,91,22550
States,California,2011,23,X,2.26424,X,X,X,X,X,X,588,87,25969
States,California,2011,24,X,1.84762,X,X,X,X,X,X,461,88,24951
States,California,2011,25,X,1.73298,X,X,X,X,X,X,436,88,25159
States,California,2011,26,X,1.67684,X,X,X,X,X,X,426,80,25405
States,California,2011,27,X,1.68774,X,X,X,X,X,X,343,82,20323
States,California,2011,28,X,1.60432,X,X,X,X,X,X,383,84,23873
States,California,2011,29,X,1.45437,X,X,X,X,X,X,327,78,22484
States,California,2011,30,X,1.35141,X,X,X,X,X,X,303,79,22421
States,California,2011,31,X,0.553292,X,X,X,X,X,X,91,74,16447
States,California,2011,32,X,1.35688,X,X,X,X,X,X,295,80,21741
States,California,2011,33,X,1.1637,X,X,X,X,X,X,284,82,24405
States,California,2011,34,X,1.34833,X,X,X,X,X,X,350,83,25958
States,California,2011,35,X,1.47857,X,X,X,X,X,X,376,79,25430
States,California,2011,36,X,1.60215,X,X,X,X,X,X,322,77,20098
States,California,2011,37,X,1.74891,X,X,X,X,X,X,420,76,24015
States,California,2011,38,X,1.75994,X,X,X,X,X,X,445,74,25285
States,California,2011,39,X,1.84745,X,X,X,X,X,X,474,73,25657
States,California,2011,40,X,1.80295,X,X,X,X,X,X,568,116,31504
States,California,2011,41,X,2.06534,X,X,X,X,X,X,703,122,34038
States,California,2011,42,X,2.38294,X,X,X,X,X,X,801,116,33614
States,California,2011,43,X,2.29128,X,X,X,X,X,X,797,118,34784
States,California,2011,44,X,2.48358,X,X,X,X,X,X,866,125,34869
States,California,2011,45,X,2.1744,X,X,X,X,X,X,784,127,36056
States,California,2011,46,X,2.6274,X,X,X,X,X,X,992,123,37756
States,California,2011,47,X,2.51216,X,X,X,X,X,X,594,125,23645
States,California,2011,48,X,1.6858,X,X,X,X,X,X,511,125,30312
States,California,2011,49,X,2.7037,X,X,X,X,X,X,883,128,32659
States,California,2011,50,X,3.02135,X,X,X,X,X,X,951,127,31476
States,California,2011,51,X,3.60781,X,X,X,X,X,X,843,121,23366
States,California,2011,52,X,4.3531,X,X,X,X,X,X,718,117,16494
States,California,2012,1,X,3.50589,X,X,X,X,X,X,854,122,24359
States,California,2012,2,X,2.94298,X,X,X,X,X,X,958,124,32552
States,California,2012,3,X,2.73705,X,X,X,X,X,X,855,125,31238
States,California,2012,4,X,3.53247,X,X,X,X,X,X,1224,126,34650
States,California,2012,5,X,3.85357,X,X,X,X,X,X,1359,129,35266
States,California,2012,6,X,3.29788,X,X,X,X,X,X,1265,130,38358
States,California,2012,7,X,3.57343,X,X,X,X,X,X,1278,130,35764
States,California,2012,8,X,4.20562,X,X,X,X,X,X,1300,125,30911
States,California,2012,9,X,3.54025,X,X,X,X,X,X,1253,127,35393
States,California,2012,10,X,2.69266,X,X,X,X,X,X,812,128,30156
States,California,2012,11,X,3.12447,X,X,X,X,X,X,920,128,29445
States,California,2012,12,X,2.83205,X,X,X,X,X,X,819,124,28919
States,California,2012,13,X,3.89886,X,X,X,X,X,X,1229,127,31522
States,California,2012,14,X,2.99164,X,X,X,X,X,X,952,120,31822
States,California,2012,15,X,2.87193,X,X,X,X,X,X,927,118,32278
States,California,2012,16,X,2.15102,X,X,X,X,X,X,717,116,33333
States,California,2012,17,X,2.15365,X,X,X,X,X,X,693,113,32178
States,California,2012,18,X,2.36106,X,X,X,X,X,X,732,107,31003
States,California,2012,19,X,2.17778,X,X,X,X,X,X,673,99,30903
States,California,2012,20,X,2.04531,X,X,X,X,X,X,613,94,29971
States,California,2012,21,X,2.22589,X,X,X,X,X,X,593,91,26641
States,California,2012,22,X,2.21439,X,X,X,X,X,X,465,89,20999
States,California,2012,23,X,2.01533,X,X,X,X,X,X,497,88,24661
States,California,2012,24,X,1.81274,X,X,X,X,X,X,466,88,25707
States,California,2012,25,X,2.03814,X,X,X,X,X,X,482,85,23649
States,California,2012,26,X,1.875,X,X,X,X,X,X,411,80,21920
States,California,2012,27,X,1.93357,X,X,X,X,X,X,365,81,18877
States,California,2012,28,X,1.82661,X,X,X,X,X,X,390,74,21351
States,California,2012,29,X,1.69307,X,X,X,X,X,X,357,76,21086
States,California,2012,30,X,1.68499,X,X,X,X,X,X,354,76,21009
States,California,2012,31,X,1.75422,X,X,X,X,X,X,362,77,20636
States,California,2012,32,X,1.61435,X,X,X,X,X,X,343,74,21247
States,California,2012,33,X,1.07686,X,X,X,X,X,X,160,70,14858
