"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,California,2010,40,183,3.28,2,0,3,0,0,1,0
States,California,2010,41,163,1.23,0,0,0,0,0,2,0
States,California,2010,42,174,2.87,0,0,1,1,0,3,0
States,California,2010,43,168,1.79,1,0,2,0,0,0,0
States,California,2010,44,229,3.06,1,0,2,0,0,4,0
States,California,2010,45,213,3.29,0,0,1,1,0,5,0
States,California,2010,46,275,4.73,0,0,2,0,0,11,0
States,California,2010,47,223,2.69,0,0,1,0,0,5,0
States,California,2010,48,327,4.89,2,0,0,1,0,13,0
States,California,2010,49,324,5.56,1,0,5,1,0,11,0
States,California,2010,50,321,5.3,2,0,4,1,0,10,0
States,California,2010,51,307,11.07,2,0,5,6,0,21,0
States,California,2010,52,343,10.2,2,0,8,9,0,16,0
States,California,2011,1,324,10.8,3,0,11,8,0,13,0
States,California,2011,2,330,20.91,10,0,29,10,0,20,0
States,California,2011,3,309,15.53,12,0,7,13,0,16,0
States,California,2011,4,378,25.93,19,0,32,15,0,32,0
States,California,2011,5,403,27.05,23,0,17,27,0,42,0
States,California,2011,6,441,23.58,24,0,13,36,0,31,0
States,California,2011,7,510,28.43,48,0,15,43,0,39,0
States,California,2011,8,412,23.79,26,0,14,33,0,25,0
States,California,2011,9,437,21.05,21,0,19,32,0,20,0
States,California,2011,10,394,21.07,28,0,14,26,0,15,0
States,California,2011,11,344,16.57,16,0,13,16,0,12,0
States,California,2011,12,245,13.06,8,0,7,11,0,6,0
States,California,2011,13,278,6.47,8,0,4,2,0,4,0
States,California,2011,14,256,3.91,2,0,6,1,0,1,0
States,California,2011,15,244,3.28,2,0,5,0,0,1,0
States,California,2011,16,204,1.96,0,0,0,2,0,2,0
States,California,2011,17,164,2.44,1,0,1,0,0,2,0
States,California,2011,18,145,0,0,0,0,0,0,0,0
States,California,2011,19,136,0.74,0,0,0,0,0,1,0
States,California,2011,20,148,1.35,0,0,1,1,0,0,0
States,California,2011,21,130,0,0,0,0,0,0,0,0
States,California,2011,22,106,0.94,0,0,0,0,0,1,0
States,California,2011,23,120,0,0,0,0,0,0,0,0
States,California,2011,24,102,0,0,0,0,0,0,0,0
States,California,2011,25,115,0,0,0,0,0,0,0,0
States,California,2011,26,79,0,0,0,0,0,0,0,0
States,California,2011,27,81,0,0,0,0,0,0,0,0
States,California,2011,28,57,0,0,0,0,0,0,0,0
States,California,2011,29,102,0,0,0,0,0,0,0,0
States,California,2011,30,50,0,0,0,0,0,0,0,0
States,California,2011,31,85,2.35,0,0,2,0,0,0,0
States,California,2011,32,60,1.67,1,0,0,0,0,0,0
States,California,2011,33,80,1.25,0,0,1,0,0,0,0
States,California,2011,34,63,0,0,0,0,0,0,0,0
States,California,2011,35,77,0,0,0,0,0,0,0,0
States,California,2011,36,73,0,0,0,0,0,0,0,0
States,California,2011,37,67,0,0,0,0,0,0,0,0
States,California,2011,38,100,0,0,0,0,0,0,0,0
States,California,2011,39,109,0,0,0,0,0,0,0,0
States,California,2011,40,183,2.19,2,0,2,0,0,0,0
States,California,2011,41,127,3.94,0,0,5,0,0,0,0
States,California,2011,42,130,1.54,0,0,1,0,0,1,0
States,California,2011,43,166,2.41,0,0,2,0,0,2,0
States,California,2011,44,181,1.1,0,0,0,0,0,2,0
States,California,2011,45,190,1.05,1,0,1,0,0,0,0
States,California,2011,46,221,1.36,0,0,1,1,0,1,0
States,California,2011,47,174,1.72,0,0,3,0,0,0,0
States,California,2011,48,211,2.84,0,0,3,2,0,1,0
States,California,2011,49,239,4.18,0,0,6,4,0,0,0
States,California,2011,50,246,3.66,0,0,8,1,0,0,0
States,California,2011,51,278,9.35,0,0,20,3,0,3,0
States,California,2011,52,265,3.4,1,0,4,4,0,0,0
States,California,2012,1,289,6.57,2,0,14,1,0,2,0
States,California,2012,2,253,7.91,3,0,12,5,0,0,0
States,California,2012,3,287,16.03,15,0,27,4,0,0,0
States,California,2012,4,312,14.42,16,0,23,5,0,1,0
States,California,2012,5,296,14.53,13,0,22,8,0,0,0
States,California,2012,6,343,26.24,27,0,52,9,0,2,0
States,California,2012,7,416,22.6,43,0,40,8,0,3,0
States,California,2012,8,361,20.5,26,0,23,24,0,1,0
States,California,2012,9,449,29.62,39,0,58,32,0,4,0
States,California,2012,10,384,20.83,16,0,25,38,0,1,0
States,California,2012,11,425,25.41,22,0,27,45,0,14,0
States,California,2012,12,426,27.93,23,0,45,41,0,10,0
